,fold_0,fold_1,fold_2,fold_3,fold_4
sub3721927,0.0,0.0,0.0,1.0,0.0
sub3458000,0.0,0.0,1.0,0.0,0.0
sub1090810,0.0,0.0,1.0,0.0,0.0
sub1629420,0.0,1.0,0.0,0.0,0.0
sub2719214,1.0,0.0,0.0,0.0,0.0
sub4790276,1.0,0.0,0.0,0.0,0.0
sub3773056,0.0,0.0,0.0,0.0,1.0
sub3813192,0.0,0.0,0.0,1.0,0.0
sub2720508,0.0,0.0,0.0,1.0,0.0
sub1216952,0.0,0.0,0.0,1.0,0.0
sub4299156,0.0,0.0,0.0,0.0,1.0
sub5950676,0.0,0.0,1.0,0.0,0.0
sub3670306,1.0,0.0,0.0,0.0,0.0
sub3048078,1.0,0.0,0.0,0.0,0.0
sub3173841,0.0,0.0,0.0,1.0,0.0
sub4442258,0.0,1.0,0.0,0.0,0.0
sub1504925,1.0,0.0,0.0,0.0,0.0
sub2076704,0.0,0.0,1.0,0.0,0.0
sub4426572,0.0,0.0,0.0,0.0,1.0
sub5006704,0.0,0.0,1.0,0.0,0.0
sub3699327,1.0,0.0,0.0,0.0,0.0
sub5751530,0.0,0.0,0.0,0.0,1.0
sub2660555,1.0,0.0,0.0,0.0,0.0
sub3726814,0.0,1.0,0.0,0.0,0.0
sub3137666,0.0,0.0,0.0,0.0,1.0
sub1983838,0.0,0.0,0.0,0.0,1.0
sub5590754,0.0,0.0,1.0,0.0,0.0
sub1791719,0.0,0.0,0.0,1.0,0.0
sub1908025,0.0,0.0,1.0,0.0,0.0
sub3361968,0.0,0.0,0.0,0.0,1.0
sub2705566,0.0,1.0,0.0,0.0,0.0
sub3140055,0.0,0.0,0.0,0.0,1.0
sub3639404,0.0,1.0,0.0,0.0,0.0
sub2511017,0.0,1.0,0.0,0.0,0.0
sub1228341,0.0,0.0,1.0,0.0,0.0
sub1783416,1.0,0.0,0.0,0.0,0.0
sub3621450,0.0,1.0,0.0,0.0,0.0
sub1956341,0.0,0.0,0.0,1.0,0.0
sub1622352,1.0,0.0,0.0,0.0,0.0
sub5429348,1.0,0.0,0.0,0.0,0.0
sub2786567,0.0,1.0,0.0,0.0,0.0
sub1270077,0.0,1.0,0.0,0.0,0.0
sub3457589,1.0,0.0,0.0,0.0,0.0
sub1537051,0.0,0.0,0.0,1.0,0.0
sub3879215,0.0,1.0,0.0,0.0,0.0
sub4423046,0.0,0.0,0.0,1.0,0.0
sub2062173,1.0,0.0,0.0,0.0,0.0
sub4532048,0.0,0.0,1.0,0.0,0.0
sub3856270,0.0,0.0,0.0,0.0,1.0
sub5147172,0.0,1.0,0.0,0.0,0.0
sub1874728,0.0,0.0,0.0,0.0,1.0
sub5932236,0.0,0.0,0.0,0.0,1.0
sub4032857,0.0,0.0,0.0,0.0,1.0
sub4253147,0.0,0.0,0.0,1.0,0.0
sub4704836,0.0,0.0,1.0,0.0,0.0
sub2557168,0.0,0.0,1.0,0.0,0.0
sub2524965,0.0,0.0,0.0,1.0,0.0
sub4612248,1.0,0.0,0.0,0.0,0.0
sub4806107,0.0,1.0,0.0,0.0,0.0
sub5841345,1.0,0.0,0.0,0.0,0.0
sub1714652,1.0,0.0,0.0,0.0,0.0
sub4421791,0.0,1.0,0.0,0.0,0.0
sub5301187,0.0,0.0,0.0,1.0,0.0
sub3584075,0.0,0.0,0.0,0.0,1.0
sub5659431,0.0,0.0,0.0,0.0,1.0
sub3879062,1.0,0.0,0.0,0.0,0.0
sub4872921,0.0,0.0,0.0,0.0,1.0
sub1099289,0.0,0.0,0.0,0.0,1.0
sub1017978,0.0,0.0,0.0,1.0,0.0
sub2105178,0.0,1.0,0.0,0.0,0.0
sub1011332,1.0,0.0,0.0,0.0,0.0
sub2232157,0.0,0.0,0.0,0.0,1.0
sub5582334,0.0,0.0,0.0,0.0,1.0
sub3908774,0.0,1.0,0.0,0.0,0.0
sub1162944,0.0,0.0,1.0,0.0,0.0
sub5797688,0.0,0.0,1.0,0.0,0.0
sub4785452,1.0,0.0,0.0,0.0,0.0
sub5711168,0.0,0.0,0.0,1.0,0.0
sub1706592,0.0,1.0,0.0,0.0,0.0
sub3158249,0.0,0.0,1.0,0.0,0.0
sub2810775,0.0,0.0,0.0,1.0,0.0
sub5442802,0.0,1.0,0.0,0.0,0.0
sub3954009,0.0,0.0,0.0,1.0,0.0
sub3113106,1.0,0.0,0.0,0.0,0.0
sub4324824,0.0,0.0,0.0,1.0,0.0
sub1050721,0.0,0.0,0.0,0.0,1.0
sub4731905,0.0,0.0,0.0,1.0,0.0
sub4022376,0.0,0.0,1.0,0.0,0.0
sub2928534,0.0,0.0,0.0,0.0,1.0
sub3374803,1.0,0.0,0.0,0.0,0.0
sub2184398,0.0,0.0,1.0,0.0,0.0
sub4741554,0.0,1.0,0.0,0.0,0.0
sub5781092,0.0,0.0,1.0,0.0,0.0
sub1469798,0.0,0.0,0.0,1.0,0.0
sub4715188,0.0,1.0,0.0,0.0,0.0
sub5600327,0.0,0.0,1.0,0.0,0.0
sub2073852,0.0,0.0,0.0,1.0,0.0
sub1952412,0.0,0.0,1.0,0.0,0.0
sub1243038,0.0,1.0,0.0,0.0,0.0
sub3646431,0.0,0.0,1.0,0.0,0.0
