,fold_0,fold_1,fold_2,fold_3,fold_4
sub3313222,1.0,0.0,0.0,0.0,0.0
sub2908116,0.0,1.0,0.0,0.0,0.0
sub3208743,0.0,0.0,1.0,0.0,0.0
sub1342065,0.0,0.0,1.0,0.0,0.0
sub2582394,0.0,0.0,1.0,0.0,0.0
sub3152444,0.0,0.0,0.0,1.0,0.0
sub4922181,0.0,0.0,1.0,0.0,0.0
sub1375543,0.0,0.0,1.0,0.0,0.0
sub3722264,0.0,1.0,0.0,0.0,0.0
sub4568997,0.0,0.0,0.0,1.0,0.0
sub2275143,0.0,1.0,0.0,0.0,0.0
sub3300883,0.0,0.0,0.0,0.0,1.0
sub4027998,0.0,1.0,0.0,0.0,0.0
sub3994665,0.0,1.0,0.0,0.0,0.0
sub1540693,0.0,0.0,0.0,1.0,0.0
sub2995084,0.0,0.0,0.0,0.0,1.0
sub2449455,0.0,1.0,0.0,0.0,0.0
sub3749448,0.0,1.0,0.0,0.0,0.0
sub4434503,1.0,0.0,0.0,0.0,0.0
sub1750850,0.0,1.0,0.0,0.0,0.0
sub4542967,0.0,1.0,0.0,0.0,0.0
sub3019961,0.0,0.0,1.0,0.0,0.0
sub2819118,0.0,0.0,1.0,0.0,0.0
sub1454222,1.0,0.0,0.0,0.0,0.0
sub4398272,0.0,0.0,0.0,1.0,0.0
sub2274835,0.0,1.0,0.0,0.0,0.0
sub3748778,0.0,0.0,0.0,0.0,1.0
sub2863781,0.0,0.0,1.0,0.0,0.0
sub1890840,0.0,0.0,0.0,1.0,0.0
sub4325341,1.0,0.0,0.0,0.0,0.0
sub3857382,0.0,0.0,0.0,0.0,1.0
sub3495360,0.0,0.0,1.0,0.0,0.0
sub3233319,0.0,0.0,0.0,0.0,1.0
sub4604516,0.0,0.0,0.0,1.0,0.0
sub4288982,0.0,0.0,0.0,0.0,1.0
sub1035008,1.0,0.0,0.0,0.0,0.0
sub4422424,1.0,0.0,0.0,0.0,0.0
sub3064717,0.0,1.0,0.0,0.0,0.0
sub2192248,0.0,0.0,0.0,0.0,1.0
sub2480984,0.0,1.0,0.0,0.0,0.0
sub1909448,0.0,0.0,1.0,0.0,0.0
sub2032659,1.0,0.0,0.0,0.0,0.0
sub5277287,0.0,1.0,0.0,0.0,0.0
sub5983859,0.0,1.0,0.0,0.0,0.0
sub1163359,0.0,1.0,0.0,0.0,0.0
sub3791254,0.0,0.0,0.0,1.0,0.0
sub2531180,1.0,0.0,0.0,0.0,0.0
1076065xsub,1.0,0.0,0.0,0.0,0.0
sub2363557,0.0,0.0,0.0,1.0,0.0
sub1871073,1.0,0.0,0.0,0.0,0.0
sub4218101,0.0,0.0,0.0,1.0,0.0
sub2248739,0.0,0.0,0.0,0.0,1.0
sub1621977,0.0,0.0,0.0,0.0,1.0
sub2904531,0.0,0.0,0.0,1.0,0.0
sub2051946,0.0,0.0,0.0,1.0,0.0
sub4653397,0.0,0.0,1.0,0.0,0.0
sub2554393,0.0,0.0,0.0,1.0,0.0
sub4046947,0.0,1.0,0.0,0.0,0.0
sub2593144,0.0,0.0,0.0,0.0,1.0
sub3035409,0.0,1.0,0.0,0.0,0.0
sub1303622,0.0,1.0,0.0,0.0,0.0
sub2198001,0.0,0.0,0.0,1.0,0.0
sub4506193,1.0,0.0,0.0,0.0,0.0
sub5725970,0.0,1.0,0.0,0.0,0.0
sub1803211,1.0,0.0,0.0,0.0,0.0
sub3625730,1.0,0.0,0.0,0.0,0.0
sub2357539,0.0,0.0,1.0,0.0,0.0
sub3620287,0.0,1.0,0.0,0.0,0.0
sub5371568,0.0,1.0,0.0,0.0,0.0
sub3669907,0.0,1.0,0.0,0.0,0.0
sub2975082,0.0,0.0,0.0,0.0,1.0
sub4575883,0.0,0.0,1.0,0.0,0.0
sub4334069,0.0,0.0,0.0,1.0,0.0
sub3609124,0.0,0.0,1.0,0.0,0.0
sub2013375,0.0,0.0,1.0,0.0,0.0
sub1982978,1.0,0.0,0.0,0.0,0.0
sub2652269,0.0,0.0,0.0,0.0,1.0
sub4752994,0.0,1.0,0.0,0.0,0.0
sub5887306,0.0,0.0,1.0,0.0,0.0
sub2254050,1.0,0.0,0.0,0.0,0.0
sub3016305,0.0,0.0,0.0,0.0,1.0
sub3627437,0.0,0.0,0.0,0.0,1.0
sub3782401,1.0,0.0,0.0,0.0,0.0
sub1788092,0.0,1.0,0.0,0.0,0.0
sub2823633,0.0,0.0,1.0,0.0,0.0
sub1080571,1.0,0.0,0.0,0.0,0.0
sub3106944,1.0,0.0,0.0,0.0,0.0
sub4738152,0.0,1.0,0.0,0.0,0.0
sub1894783,0.0,0.0,0.0,0.0,1.0
sub3937105,1.0,0.0,0.0,0.0,0.0
sub3356647,0.0,1.0,0.0,0.0,0.0
sub2676712,0.0,0.0,1.0,0.0,0.0
sub4244511,0.0,0.0,0.0,1.0,0.0
sub1689709,0.0,0.0,0.0,0.0,1.0
sub2023477,0.0,0.0,0.0,0.0,1.0
sub5263696,0.0,0.0,0.0,0.0,1.0
sub3500026,0.0,0.0,0.0,0.0,1.0
sub1213244,0.0,1.0,0.0,0.0,0.0
sub1610768,0.0,0.0,0.0,1.0,0.0
sub1257817,0.0,1.0,0.0,0.0,0.0
sub1644106,0.0,1.0,0.0,0.0,0.0
sub4461335,0.0,0.0,0.0,1.0,0.0
sub4666654,1.0,0.0,0.0,0.0,0.0
sub2043740,0.0,0.0,0.0,1.0,0.0
sub3113502,0.0,0.0,0.0,1.0,0.0
sub4083875,0.0,0.0,1.0,0.0,0.0
sub2025424,0.0,0.0,0.0,0.0,1.0
sub2994938,0.0,0.0,0.0,0.0,1.0
sub1037166,0.0,1.0,0.0,0.0,0.0
sub3871864,0.0,0.0,0.0,1.0,0.0
sub4243340,0.0,1.0,0.0,0.0,0.0
sub3469857,1.0,0.0,0.0,0.0,0.0
sub4804749,0.0,0.0,0.0,0.0,1.0
sub1434004,1.0,0.0,0.0,0.0,0.0
sub3327679,1.0,0.0,0.0,0.0,0.0
sub3829926,0.0,0.0,1.0,0.0,0.0
sub3334661,0.0,0.0,1.0,0.0,0.0
sub3685637,0.0,0.0,0.0,1.0,0.0
sub2750460,0.0,0.0,0.0,1.0,0.0
sub3563437,0.0,1.0,0.0,0.0,0.0
sub2779824,0.0,1.0,0.0,0.0,0.0
sub3943085,1.0,0.0,0.0,0.0,0.0
sub3928604,0.0,0.0,0.0,1.0,0.0
sub4524520,0.0,0.0,0.0,1.0,0.0
sub3246354,1.0,0.0,0.0,0.0,0.0
sub1493465,1.0,0.0,0.0,0.0,0.0
sub2644968,0.0,0.0,0.0,1.0,0.0
sub4108972,0.0,0.0,0.0,1.0,0.0
sub2026348,0.0,1.0,0.0,0.0,0.0
sub5347750,0.0,0.0,0.0,0.0,1.0
sub4215686,0.0,1.0,0.0,0.0,0.0
sub4544853,0.0,0.0,1.0,0.0,0.0
sub5986201,0.0,0.0,0.0,0.0,1.0
sub1685452,0.0,0.0,0.0,1.0,0.0
sub1554132,0.0,0.0,0.0,1.0,0.0
sub2758891,0.0,0.0,0.0,1.0,0.0
sub3266172,1.0,0.0,0.0,0.0,0.0
sub3270134,1.0,0.0,0.0,0.0,0.0
sub1516590,0.0,0.0,0.0,1.0,0.0
sub3673755,0.0,0.0,1.0,0.0,0.0
sub3044498,0.0,0.0,1.0,0.0,0.0
sub3597273,0.0,0.0,1.0,0.0,0.0
sub5678996,1.0,0.0,0.0,0.0,0.0
sub1699566,0.0,1.0,0.0,0.0,0.0
sub2067572,1.0,0.0,0.0,0.0,0.0
sub3581454,0.0,0.0,0.0,1.0,0.0
sub1069325,1.0,0.0,0.0,0.0,0.0
sub2659525,0.0,0.0,1.0,0.0,0.0
sub1597980,0.0,1.0,0.0,0.0,0.0
sub3167052,0.0,0.0,0.0,0.0,1.0
sub4675294,0.0,0.0,0.0,1.0,0.0
sub4311479,0.0,0.0,1.0,0.0,0.0
sub1512092,0.0,1.0,0.0,0.0,0.0
sub3490261,0.0,0.0,1.0,0.0,0.0
sub4253622,0.0,1.0,0.0,0.0,0.0
sub4687289,0.0,0.0,0.0,1.0,0.0
sub2900696,0.0,0.0,0.0,0.0,1.0
sub3538700,1.0,0.0,0.0,0.0,0.0
sub2527047,0.0,1.0,0.0,0.0,0.0
sub1905905,1.0,0.0,0.0,0.0,0.0
sub2184923,0.0,0.0,1.0,0.0,0.0
sub4063708,1.0,0.0,0.0,0.0,0.0
sub1142490,0.0,0.0,0.0,0.0,1.0
sub1419407,0.0,0.0,0.0,0.0,1.0
sub4944133,0.0,0.0,0.0,0.0,1.0
sub3922673,0.0,0.0,1.0,0.0,0.0
sub3462447,0.0,0.0,0.0,0.0,1.0
sub3349462,1.0,0.0,0.0,0.0,0.0
sub3308016,0.0,0.0,0.0,0.0,1.0
sub2460084,0.0,0.0,0.0,0.0,1.0
sub2587183,1.0,0.0,0.0,0.0,0.0
sub5072719,1.0,0.0,0.0,0.0,0.0
sub1199532,1.0,0.0,0.0,0.0,0.0
sub4501588,0.0,1.0,0.0,0.0,0.0
sub4503518,0.0,0.0,0.0,1.0,0.0
sub1502806,0.0,1.0,0.0,0.0,0.0
sub5478722,0.0,0.0,0.0,1.0,0.0
sub2332151,1.0,0.0,0.0,0.0,0.0
sub2536675,0.0,1.0,0.0,0.0,0.0
sub5086024,0.0,0.0,0.0,1.0,0.0
sub2844014,0.0,0.0,1.0,0.0,0.0
sub3058678,0.0,0.0,0.0,0.0,1.0
sub1168066,0.0,0.0,0.0,1.0,0.0
sub2396316,0.0,0.0,1.0,0.0,0.0
sub3293608,0.0,0.0,0.0,1.0,0.0
sub3775259,0.0,0.0,1.0,0.0,0.0
sub2642171,1.0,0.0,0.0,0.0,0.0
sub4141610,1.0,0.0,0.0,0.0,0.0
sub1482039,0.0,1.0,0.0,0.0,0.0
sub1220574,0.0,0.0,0.0,0.0,1.0
sub2481222,0.0,0.0,0.0,0.0,1.0
sub2759391,1.0,0.0,0.0,0.0,0.0
sub1178872,0.0,1.0,0.0,0.0,0.0
sub1912081,0.0,0.0,0.0,0.0,1.0
sub1792976,0.0,0.0,0.0,0.0,1.0
sub1494313,0.0,0.0,1.0,0.0,0.0
sub3765869,0.0,1.0,0.0,0.0,0.0
sub4329389,0.0,0.0,1.0,0.0,0.0
sub4813564,0.0,0.0,0.0,1.0,0.0
sub1477809,1.0,0.0,0.0,0.0,0.0
sub3771710,0.0,0.0,1.0,0.0,0.0
sub3131292,1.0,0.0,0.0,0.0,0.0
sub5770463,0.0,0.0,0.0,1.0,0.0
sub2349406,0.0,0.0,0.0,0.0,1.0
sub2692816,1.0,0.0,0.0,0.0,0.0
sub4120319,0.0,0.0,1.0,0.0,0.0
sub4950567,1.0,0.0,0.0,0.0,0.0
sub3414977,0.0,1.0,0.0,0.0,0.0
sub4460892,0.0,0.0,0.0,0.0,1.0
sub3794536,0.0,0.0,0.0,1.0,0.0
sub4435946,0.0,1.0,0.0,0.0,0.0
sub2526644,1.0,0.0,0.0,0.0,0.0
sub4602063,0.0,0.0,0.0,0.0,1.0
sub2082673,0.0,0.0,0.0,1.0,0.0
sub4755318,0.0,0.0,0.0,0.0,1.0
sub1500097,0.0,0.0,0.0,0.0,1.0
sub1285722,0.0,1.0,0.0,0.0,0.0
sub4838316,0.0,0.0,1.0,0.0,0.0
sub5098447,0.0,0.0,1.0,0.0,0.0
sub2323452,0.0,1.0,0.0,0.0,0.0
sub2192120,1.0,0.0,0.0,0.0,0.0
sub3971433,0.0,0.0,1.0,0.0,0.0
sub5617034,1.0,0.0,0.0,0.0,0.0
sub5818396,1.0,0.0,0.0,0.0,0.0
sub3053103,1.0,0.0,0.0,0.0,0.0
sub1361464,0.0,0.0,0.0,0.0,1.0
sub4079803,0.0,0.0,0.0,1.0,0.0
sub2184844,0.0,0.0,1.0,0.0,0.0
sub2054013,0.0,0.0,0.0,1.0,0.0
sub3479337,0.0,0.0,0.0,0.0,1.0
sub1274350,0.0,0.0,0.0,1.0,0.0
sub5294216,0.0,0.0,0.0,0.0,1.0
sub1829631,0.0,0.0,1.0,0.0,0.0
sub5199624,0.0,0.0,0.0,1.0,0.0
sub4052316,1.0,0.0,0.0,0.0,0.0
