,fold_0,fold_1,fold_2,fold_3,fold_4
sub4812037,0.0,1.0,0.0,0.0,0.0
sub3257957,0.0,1.0,0.0,0.0,0.0
sub5708399,0.0,1.0,0.0,0.0,0.0
sub4021891,0.0,1.0,0.0,0.0,0.0
sub3570743,1.0,0.0,0.0,0.0,0.0
sub4111339,0.0,0.0,0.0,0.0,1.0
sub1354454,0.0,0.0,1.0,0.0,0.0
sub2420899,0.0,0.0,0.0,1.0,0.0
sub2748470,0.0,1.0,0.0,0.0,0.0
sub5798153,0.0,0.0,0.0,1.0,0.0
sub3461253,0.0,0.0,1.0,0.0,0.0
sub4886683,0.0,1.0,0.0,0.0,0.0
sub1800783,0.0,0.0,0.0,1.0,0.0
sub1881355,1.0,0.0,0.0,0.0,0.0
sub2119531,0.0,0.0,1.0,0.0,0.0
sub4551217,0.0,0.0,1.0,0.0,0.0
sub3898351,0.0,1.0,0.0,0.0,0.0
sub1727058,1.0,0.0,0.0,0.0,0.0
sub2990502,0.0,0.0,1.0,0.0,0.0
sub4757599,0.0,0.0,0.0,0.0,1.0
sub3458097,0.0,1.0,0.0,0.0,0.0
sub1919830,0.0,0.0,0.0,0.0,1.0
sub3398852,0.0,1.0,0.0,0.0,0.0
sub2536318,0.0,0.0,0.0,0.0,1.0
sub2318802,1.0,0.0,0.0,0.0,0.0
sub4028334,1.0,0.0,0.0,0.0,0.0
sub4198745,1.0,0.0,0.0,0.0,0.0
sub1345442,0.0,0.0,0.0,0.0,1.0
sub2324566,0.0,0.0,0.0,0.0,1.0
sub4018009,1.0,0.0,0.0,0.0,0.0
sub4518653,0.0,0.0,1.0,0.0,0.0
sub1162569,0.0,1.0,0.0,0.0,0.0
sub4369933,1.0,0.0,0.0,0.0,0.0
sub2873535,0.0,0.0,0.0,1.0,0.0
sub2527088,0.0,0.0,0.0,1.0,0.0
sub2039783,0.0,1.0,0.0,0.0,0.0
sub2480185,0.0,0.0,1.0,0.0,0.0
sub1181555,1.0,0.0,0.0,0.0,0.0
sub4637402,1.0,0.0,0.0,0.0,0.0
