,fold_0,fold_1,fold_2,fold_3,fold_4
sub1352706,0.0,0.0,0.0,0.0,1.0
sub1019664,0.0,0.0,0.0,0.0,1.0
sub3844591,0.0,0.0,0.0,0.0,1.0
sub1713526,0.0,0.0,0.0,0.0,1.0
sub5857999,0.0,1.0,0.0,0.0,0.0
sub4672345,1.0,0.0,0.0,0.0,0.0
sub3715302,0.0,0.0,1.0,0.0,0.0
sub2650110,0.0,0.0,0.0,1.0,0.0
sub1659989,1.0,0.0,0.0,0.0,0.0
sub4509026,1.0,0.0,0.0,0.0,0.0
sub1987669,0.0,0.0,0.0,0.0,1.0
sub4615588,0.0,0.0,0.0,1.0,0.0
sub1023584,1.0,0.0,0.0,0.0,0.0
sub3742675,0.0,0.0,1.0,0.0,0.0
sub2864338,1.0,0.0,0.0,0.0,0.0
sub5615924,0.0,1.0,0.0,0.0,0.0
sub1964905,0.0,0.0,0.0,0.0,1.0
sub3489887,0.0,0.0,1.0,0.0,0.0
sub1990044,1.0,0.0,0.0,0.0,0.0
sub2123808,0.0,0.0,0.0,0.0,1.0
sub2486417,0.0,0.0,0.0,1.0,0.0
sub5434709,1.0,0.0,0.0,0.0,0.0
sub4616159,0.0,0.0,1.0,0.0,0.0
sub5368977,0.0,0.0,1.0,0.0,0.0
sub3105413,0.0,0.0,0.0,1.0,0.0
sub2770140,0.0,0.0,0.0,1.0,0.0
sub3098526,1.0,0.0,0.0,0.0,0.0
sub5889000,0.0,0.0,1.0,0.0,0.0
sub2953358,0.0,0.0,0.0,1.0,0.0
sub1383294,0.0,0.0,0.0,1.0,0.0
sub4361761,0.0,1.0,0.0,0.0,0.0
sub3258109,0.0,0.0,1.0,0.0,0.0
sub5917196,0.0,0.0,1.0,0.0,0.0
sub3976199,0.0,0.0,1.0,0.0,0.0
sub3005530,0.0,0.0,1.0,0.0,0.0
sub5526031,0.0,0.0,0.0,1.0,0.0
sub3846335,0.0,0.0,1.0,0.0,0.0
sub3927457,1.0,0.0,0.0,0.0,0.0
sub1144620,1.0,0.0,0.0,0.0,0.0
sub4741190,0.0,0.0,1.0,0.0,0.0
sub1362103,1.0,0.0,0.0,0.0,0.0
sub2277913,0.0,0.0,1.0,0.0,0.0
sub2042711,0.0,0.0,0.0,1.0,0.0
sub2798458,0.0,0.0,1.0,0.0,0.0
sub1300028,0.0,0.0,0.0,0.0,1.0
sub3541592,1.0,0.0,0.0,0.0,0.0
sub1335875,0.0,1.0,0.0,0.0,0.0
sub1706032,0.0,0.0,1.0,0.0,0.0
sub5236511,0.0,0.0,0.0,1.0,0.0
sub5417192,1.0,0.0,0.0,0.0,0.0
sub5313098,1.0,0.0,0.0,0.0,0.0
sub2941426,0.0,0.0,0.0,0.0,1.0
sub4653934,0.0,0.0,0.0,0.0,1.0
sub5494588,0.0,0.0,1.0,0.0,0.0
sub5903433,0.0,1.0,0.0,0.0,0.0
sub5775559,0.0,1.0,0.0,0.0,0.0
sub1244808,0.0,1.0,0.0,0.0,0.0
sub4747354,0.0,0.0,0.0,1.0,0.0
sub4977947,0.0,0.0,0.0,0.0,1.0
sub4501634,0.0,0.0,1.0,0.0,0.0
sub1318694,1.0,0.0,0.0,0.0,0.0
sub3701215,1.0,0.0,0.0,0.0,0.0
sub3311431,0.0,0.0,0.0,1.0,0.0
sub2614102,0.0,1.0,0.0,0.0,0.0
sub3223169,0.0,1.0,0.0,0.0,0.0
sub1654778,0.0,0.0,0.0,0.0,1.0
sub3195667,0.0,0.0,1.0,0.0,0.0
sub3975452,1.0,0.0,0.0,0.0,0.0
sub3804239,0.0,0.0,0.0,0.0,1.0
sub1808271,0.0,0.0,1.0,0.0,0.0
sub4023746,0.0,0.0,0.0,0.0,1.0
