,fold_0,fold_1,fold_2,fold_3,fold_4
sub1384783,0.0,1.0,0.0,0.0,0.0
sub3708957,0.0,0.0,0.0,1.0,0.0
sub3996092,0.0,1.0,0.0,0.0,0.0
sub2222856,1.0,0.0,0.0,0.0,0.0
sub2688270,1.0,0.0,0.0,0.0,0.0
sub1506271,0.0,0.0,0.0,0.0,1.0
sub2068405,1.0,0.0,0.0,0.0,0.0
sub4771366,0.0,0.0,1.0,0.0,0.0
sub3671893,0.0,0.0,0.0,1.0,0.0
sub1933441,0.0,0.0,0.0,1.0,0.0
sub3230785,1.0,0.0,0.0,0.0,0.0
sub4233103,0.0,0.0,1.0,0.0,0.0
sub2257709,0.0,0.0,0.0,1.0,0.0
sub2730343,1.0,0.0,0.0,0.0,0.0
sub2050442,1.0,0.0,0.0,0.0,0.0
sub2257299,0.0,0.0,1.0,0.0,0.0
sub2959583,1.0,0.0,0.0,0.0,0.0
sub1569577,0.0,0.0,0.0,0.0,1.0
sub4288875,0.0,0.0,0.0,1.0,0.0
sub1562682,0.0,0.0,0.0,0.0,1.0
sub1747526,1.0,0.0,0.0,0.0,0.0
sub2670198,0.0,0.0,0.0,1.0,0.0
sub2620173,0.0,0.0,1.0,0.0,0.0
sub1037660,1.0,0.0,0.0,0.0,0.0
sub2347713,0.0,0.0,0.0,0.0,1.0
sub3347968,0.0,0.0,1.0,0.0,0.0
sub5215807,1.0,0.0,0.0,0.0,0.0
sub3974136,0.0,1.0,0.0,0.0,0.0
sub4983164,0.0,0.0,0.0,0.0,1.0
sub4625538,0.0,1.0,0.0,0.0,0.0
sub2518739,0.0,1.0,0.0,0.0,0.0
sub3958929,0.0,0.0,0.0,1.0,0.0
sub4002143,0.0,0.0,0.0,1.0,0.0
sub4139317,1.0,0.0,0.0,0.0,0.0
sub3298966,0.0,0.0,1.0,0.0,0.0
sub2121303,0.0,1.0,0.0,0.0,0.0
sub3190122,0.0,0.0,0.0,0.0,1.0
sub1861440,0.0,1.0,0.0,0.0,0.0
sub4115827,0.0,0.0,1.0,0.0,0.0
sub1825642,1.0,0.0,0.0,0.0,0.0
sub1666097,0.0,1.0,0.0,0.0,0.0
sub1341902,0.0,1.0,0.0,0.0,0.0
sub1088578,0.0,0.0,0.0,0.0,1.0
sub4725109,0.0,0.0,0.0,0.0,1.0
sub2256820,0.0,0.0,0.0,0.0,1.0
sub5617034,0.0,0.0,0.0,1.0,0.0
sub1501224,1.0,0.0,0.0,0.0,0.0
sub5116791,0.0,0.0,1.0,0.0,0.0
sub2751751,0.0,0.0,0.0,1.0,0.0
sub2642502,0.0,0.0,1.0,0.0,0.0
sub2738587,0.0,1.0,0.0,0.0,0.0
sub1929217,0.0,1.0,0.0,0.0,0.0
sub1032731,0.0,0.0,1.0,0.0,0.0
1072100xsub,0.0,0.0,0.0,0.0,1.0
sub5583732,1.0,0.0,0.0,0.0,0.0
sub1630693,0.0,1.0,0.0,0.0,0.0
sub4765153,0.0,1.0,0.0,0.0,0.0
sub4481026,0.0,0.0,1.0,0.0,0.0
sub1718159,0.0,0.0,0.0,0.0,1.0
sub3642834,0.0,1.0,0.0,0.0,0.0
sub1184912,0.0,1.0,0.0,0.0,0.0
sub3196147,0.0,1.0,0.0,0.0,0.0
sub1587369,0.0,0.0,1.0,0.0,0.0
sub2045966,0.0,1.0,0.0,0.0,0.0
sub3769227,0.0,0.0,0.0,0.0,1.0
sub3463666,0.0,0.0,0.0,1.0,0.0
sub4610212,0.0,1.0,0.0,0.0,0.0
sub3023937,0.0,0.0,0.0,1.0,0.0
sub1828468,1.0,0.0,0.0,0.0,0.0
sub3345491,1.0,0.0,0.0,0.0,0.0
sub4291160,0.0,0.0,0.0,1.0,0.0
sub2896479,1.0,0.0,0.0,0.0,0.0
sub2199766,0.0,1.0,0.0,0.0,0.0
sub1714254,1.0,0.0,0.0,0.0,0.0
sub3385634,1.0,0.0,0.0,0.0,0.0
sub2501638,0.0,0.0,0.0,0.0,1.0
sub4864424,1.0,0.0,0.0,0.0,0.0
sub1813890,0.0,0.0,0.0,0.0,1.0
sub5079051,0.0,1.0,0.0,0.0,0.0
sub2232028,0.0,1.0,0.0,0.0,0.0
sub4001877,0.0,0.0,0.0,1.0,0.0
sub2896854,0.0,1.0,0.0,0.0,0.0
sub4250709,1.0,0.0,0.0,0.0,0.0
sub1354526,0.0,1.0,0.0,0.0,0.0
sub3353832,0.0,1.0,0.0,0.0,0.0
sub4082806,0.0,0.0,0.0,0.0,1.0
sub3386940,0.0,0.0,0.0,1.0,0.0
sub3597273,0.0,1.0,0.0,0.0,0.0
sub4734779,0.0,0.0,1.0,0.0,0.0
sub4080123,0.0,1.0,0.0,0.0,0.0
sub1484240,0.0,0.0,1.0,0.0,0.0
sub4340573,0.0,0.0,1.0,0.0,0.0
sub2081921,0.0,0.0,0.0,0.0,1.0
sub1806012,1.0,0.0,0.0,0.0,0.0
sub1018663,0.0,0.0,1.0,0.0,0.0
sub1781703,0.0,0.0,1.0,0.0,0.0
sub4632422,0.0,0.0,1.0,0.0,0.0
sub3640444,0.0,0.0,0.0,1.0,0.0
sub2229481,0.0,1.0,0.0,0.0,0.0
sub2901253,0.0,0.0,0.0,0.0,1.0
sub2606985,0.0,0.0,0.0,0.0,1.0
sub4482524,0.0,1.0,0.0,0.0,0.0
sub3982424,0.0,0.0,0.0,0.0,1.0
sub4382648,0.0,0.0,0.0,0.0,1.0
sub3809143,0.0,1.0,0.0,0.0,0.0
sub3559638,0.0,1.0,0.0,0.0,0.0
sub2663633,0.0,0.0,0.0,0.0,1.0
sub4548593,0.0,0.0,0.0,1.0,0.0
sub3565785,0.0,0.0,0.0,1.0,0.0
sub4414539,0.0,0.0,0.0,1.0,0.0
sub1608760,0.0,0.0,0.0,0.0,1.0
sub1226625,1.0,0.0,0.0,0.0,0.0
sub2016726,0.0,0.0,0.0,1.0,0.0
sub5745497,1.0,0.0,0.0,0.0,0.0
sub2041292,0.0,0.0,0.0,0.0,1.0
sub4617955,0.0,0.0,0.0,0.0,1.0
sub2025532,0.0,1.0,0.0,0.0,0.0
sub2858030,0.0,0.0,0.0,0.0,1.0
sub2432673,0.0,0.0,1.0,0.0,0.0
sub2019544,0.0,0.0,0.0,1.0,0.0
sub5691911,0.0,0.0,0.0,0.0,1.0
sub1094987,0.0,0.0,0.0,0.0,1.0
sub4395931,0.0,0.0,1.0,0.0,0.0
sub1886609,0.0,1.0,0.0,0.0,0.0
sub3792653,0.0,1.0,0.0,0.0,0.0
sub3704102,0.0,1.0,0.0,0.0,0.0
sub2235861,0.0,0.0,0.0,0.0,1.0
sub4355894,0.0,0.0,0.0,0.0,1.0
sub3063616,1.0,0.0,0.0,0.0,0.0
sub4801883,0.0,1.0,0.0,0.0,0.0
sub1672221,1.0,0.0,0.0,0.0,0.0
sub1989801,0.0,0.0,0.0,0.0,1.0
sub4304282,1.0,0.0,0.0,0.0,0.0
sub4986961,0.0,0.0,0.0,1.0,0.0
sub4636975,0.0,0.0,0.0,1.0,0.0
sub3003303,0.0,1.0,0.0,0.0,0.0
sub2514576,0.0,0.0,0.0,0.0,1.0
sub1185557,1.0,0.0,0.0,0.0,0.0
sub3508493,0.0,0.0,1.0,0.0,0.0
sub2617419,0.0,0.0,0.0,1.0,0.0
sub2282744,0.0,0.0,0.0,0.0,1.0
sub4690114,0.0,0.0,0.0,1.0,0.0
sub2909604,0.0,0.0,1.0,0.0,0.0
sub2151810,0.0,0.0,0.0,1.0,0.0
sub2254220,0.0,0.0,1.0,0.0,0.0
sub4125003,0.0,0.0,0.0,1.0,0.0
sub2051542,0.0,0.0,0.0,0.0,1.0
sub1915179,0.0,0.0,0.0,1.0,0.0
sub3639290,1.0,0.0,0.0,0.0,0.0
sub3464203,0.0,0.0,1.0,0.0,0.0
sub3783252,0.0,0.0,0.0,1.0,0.0
sub1452362,0.0,0.0,0.0,0.0,1.0
