,fold_0,fold_1,fold_2,fold_3,fold_4
sub3086612,0.0,0.0,0.0,1.0,0.0
sub5176014,1.0,0.0,0.0,0.0,0.0
sub2347848,0.0,0.0,1.0,0.0,0.0
sub5950745,0.0,0.0,0.0,0.0,1.0
sub1698688,0.0,0.0,1.0,0.0,0.0
sub1891146,0.0,0.0,0.0,0.0,1.0
sub2392210,0.0,0.0,0.0,1.0,0.0
sub2978948,0.0,1.0,0.0,0.0,0.0
sub2332964,0.0,0.0,0.0,0.0,1.0
sub4563280,0.0,1.0,0.0,0.0,0.0
sub1226431,0.0,1.0,0.0,0.0,0.0
sub1918323,0.0,0.0,1.0,0.0,0.0
sub5974035,0.0,0.0,1.0,0.0,0.0
sub4560874,1.0,0.0,0.0,0.0,0.0
sub5112081,1.0,0.0,0.0,0.0,0.0
sub2312972,0.0,0.0,1.0,0.0,0.0
sub4110585,0.0,0.0,1.0,0.0,0.0
sub3858282,0.0,1.0,0.0,0.0,0.0
sub1632997,0.0,0.0,0.0,0.0,1.0
sub5433643,0.0,1.0,0.0,0.0,0.0
sub1150982,1.0,0.0,0.0,0.0,0.0
sub2893664,0.0,0.0,1.0,0.0,0.0
sub5048857,0.0,0.0,0.0,1.0,0.0
sub5033338,0.0,0.0,0.0,0.0,1.0
sub4379268,1.0,0.0,0.0,0.0,0.0
sub5315453,0.0,1.0,0.0,0.0,0.0
sub2403419,1.0,0.0,0.0,0.0,0.0
sub2694576,0.0,0.0,0.0,1.0,0.0
sub5238969,0.0,0.0,0.0,0.0,1.0
sub3660805,0.0,0.0,0.0,0.0,1.0
sub3375225,0.0,0.0,1.0,0.0,0.0
sub2451665,1.0,0.0,0.0,0.0,0.0
sub3540793,0.0,0.0,0.0,0.0,1.0
sub2695967,0.0,0.0,1.0,0.0,0.0
sub4271183,1.0,0.0,0.0,0.0,0.0
sub3822547,0.0,0.0,0.0,1.0,0.0
sub2512109,1.0,0.0,0.0,0.0,0.0
sub2689547,1.0,0.0,0.0,0.0,0.0
sub5706163,1.0,0.0,0.0,0.0,0.0
sub4239161,0.0,1.0,0.0,0.0,0.0
sub3066516,0.0,1.0,0.0,0.0,0.0
sub5333275,0.0,0.0,0.0,1.0,0.0
sub3205993,0.0,0.0,0.0,0.0,1.0
sub3218146,0.0,0.0,1.0,0.0,0.0
sub3232323,0.0,0.0,1.0,0.0,0.0
sub4252507,0.0,0.0,0.0,0.0,1.0
sub1481502,0.0,0.0,0.0,0.0,1.0
sub2046421,0.0,0.0,0.0,0.0,1.0
sub4146220,0.0,0.0,0.0,1.0,0.0
sub2141669,0.0,0.0,0.0,0.0,1.0
sub4016234,0.0,1.0,0.0,0.0,0.0
sub3371336,0.0,0.0,1.0,0.0,0.0
sub2816110,0.0,0.0,0.0,1.0,0.0
sub5055833,0.0,0.0,0.0,1.0,0.0
sub3934812,0.0,0.0,0.0,0.0,1.0
sub3401270,0.0,0.0,0.0,0.0,1.0
sub5064390,0.0,0.0,1.0,0.0,0.0
sub1316452,0.0,1.0,0.0,0.0,0.0
sub1395699,0.0,0.0,1.0,0.0,0.0
sub4529216,0.0,0.0,0.0,0.0,1.0
sub1421635,0.0,0.0,0.0,0.0,1.0
sub2261842,0.0,0.0,1.0,0.0,0.0
sub1909900,0.0,0.0,0.0,1.0,0.0
sub4773045,0.0,0.0,1.0,0.0,0.0
sub5112551,0.0,1.0,0.0,0.0,0.0
sub4499881,1.0,0.0,0.0,0.0,0.0
sub1475241,0.0,0.0,0.0,1.0,0.0
sub5585840,0.0,1.0,0.0,0.0,0.0
sub1368262,0.0,0.0,0.0,1.0,0.0
sub4402255,0.0,0.0,0.0,1.0,0.0
sub4992788,0.0,1.0,0.0,0.0,0.0
sub5849830,0.0,1.0,0.0,0.0,0.0
sub1584429,0.0,0.0,0.0,0.0,1.0
sub4005966,0.0,1.0,0.0,0.0,0.0
sub2294449,0.0,0.0,0.0,1.0,0.0
sub5176442,1.0,0.0,0.0,0.0,0.0
sub3387894,0.0,0.0,1.0,0.0,0.0
sub1487732,0.0,0.0,0.0,1.0,0.0
sub3054691,1.0,0.0,0.0,0.0,0.0
sub5992297,0.0,0.0,0.0,1.0,0.0
sub2800540,0.0,0.0,0.0,1.0,0.0
sub4765228,0.0,0.0,0.0,0.0,1.0
sub2948171,0.0,0.0,1.0,0.0,0.0
sub4886596,1.0,0.0,0.0,0.0,0.0
sub5071960,1.0,0.0,0.0,0.0,0.0
sub2671943,0.0,0.0,1.0,0.0,0.0
sub1446245,0.0,1.0,0.0,0.0,0.0
sub3646619,0.0,1.0,0.0,0.0,0.0
sub1027069,0.0,0.0,0.0,0.0,1.0
sub2162630,0.0,0.0,0.0,0.0,1.0
sub3155432,1.0,0.0,0.0,0.0,0.0
sub5308912,0.0,1.0,0.0,0.0,0.0
sub4343182,1.0,0.0,0.0,0.0,0.0
sub5307215,0.0,0.0,0.0,1.0,0.0
sub3105782,1.0,0.0,0.0,0.0,0.0
sub4243473,1.0,0.0,0.0,0.0,0.0
sub3840115,0.0,0.0,1.0,0.0,0.0
sub5103374,0.0,0.0,1.0,0.0,0.0
sub1280436,1.0,0.0,0.0,0.0,0.0
sub1485266,1.0,0.0,0.0,0.0,0.0
sub1524495,0.0,1.0,0.0,0.0,0.0
sub3920758,0.0,0.0,0.0,0.0,1.0
sub4612874,0.0,0.0,0.0,0.0,1.0
sub3742675,0.0,1.0,0.0,0.0,0.0
sub1806039,0.0,1.0,0.0,0.0,0.0
sub4658964,1.0,0.0,0.0,0.0,0.0
sub4044667,0.0,0.0,0.0,0.0,1.0
sub4795160,0.0,0.0,0.0,0.0,1.0
sub1093800,0.0,0.0,0.0,0.0,1.0
sub1781414,0.0,0.0,0.0,1.0,0.0
sub5313270,0.0,0.0,0.0,0.0,1.0
sub2266065,0.0,1.0,0.0,0.0,0.0
sub1246901,0.0,0.0,0.0,0.0,1.0
sub5800882,0.0,0.0,1.0,0.0,0.0
sub1246175,0.0,0.0,0.0,0.0,1.0
sub5898088,0.0,1.0,0.0,0.0,0.0
sub5503161,0.0,0.0,1.0,0.0,0.0
sub4189952,0.0,0.0,1.0,0.0,0.0
sub4101890,0.0,1.0,0.0,0.0,0.0
sub5072748,0.0,0.0,0.0,1.0,0.0
sub5180994,0.0,1.0,0.0,0.0,0.0
sub3232482,0.0,0.0,1.0,0.0,0.0
sub3473537,0.0,1.0,0.0,0.0,0.0
sub1900212,0.0,0.0,1.0,0.0,0.0
sub3648045,1.0,0.0,0.0,0.0,0.0
sub4341939,0.0,0.0,1.0,0.0,0.0
sub1558847,0.0,0.0,1.0,0.0,0.0
sub1521871,1.0,0.0,0.0,0.0,0.0
sub1369001,0.0,1.0,0.0,0.0,0.0
sub4408287,0.0,1.0,0.0,0.0,0.0
sub5889302,0.0,0.0,1.0,0.0,0.0
sub5377028,1.0,0.0,0.0,0.0,0.0
sub5293153,1.0,0.0,0.0,0.0,0.0
sub4824019,0.0,1.0,0.0,0.0,0.0
sub3311429,0.0,0.0,0.0,1.0,0.0
sub1745947,0.0,1.0,0.0,0.0,0.0
sub2169406,1.0,0.0,0.0,0.0,0.0
sub1453671,0.0,0.0,0.0,0.0,1.0
sub3369278,0.0,1.0,0.0,0.0,0.0
sub2689819,0.0,0.0,0.0,0.0,1.0
sub1842215,1.0,0.0,0.0,0.0,0.0
sub2164653,0.0,0.0,0.0,0.0,1.0
sub1258107,0.0,0.0,1.0,0.0,0.0
sub4994346,0.0,0.0,0.0,0.0,1.0
sub4609047,0.0,0.0,0.0,1.0,0.0
sub1425847,0.0,0.0,1.0,0.0,0.0
sub4197525,0.0,1.0,0.0,0.0,0.0
sub4802100,0.0,0.0,1.0,0.0,0.0
sub2494729,0.0,0.0,0.0,1.0,0.0
sub2190909,0.0,0.0,0.0,1.0,0.0
sub2638806,0.0,1.0,0.0,0.0,0.0
sub3853370,0.0,1.0,0.0,0.0,0.0
sub5927830,0.0,0.0,0.0,0.0,1.0
sub3735868,0.0,0.0,0.0,0.0,1.0
sub1978792,0.0,0.0,1.0,0.0,0.0
sub4947381,0.0,0.0,0.0,1.0,0.0
sub2244850,0.0,0.0,0.0,0.0,1.0
sub5575630,0.0,0.0,0.0,0.0,1.0
sub5542726,0.0,1.0,0.0,0.0,0.0
sub4609148,0.0,0.0,0.0,1.0,0.0
sub4997660,0.0,0.0,1.0,0.0,0.0
sub4586133,0.0,0.0,1.0,0.0,0.0
sub2316981,0.0,0.0,0.0,1.0,0.0
sub2227572,0.0,1.0,0.0,0.0,0.0
sub1171928,0.0,1.0,0.0,0.0,0.0
sub2277913,0.0,0.0,0.0,1.0,0.0
sub5326847,0.0,0.0,1.0,0.0,0.0
sub1506469,0.0,0.0,1.0,0.0,0.0
sub3940376,0.0,0.0,0.0,1.0,0.0
sub1806718,0.0,1.0,0.0,0.0,0.0
sub5332158,0.0,0.0,1.0,0.0,0.0
sub1884550,1.0,0.0,0.0,0.0,0.0
sub5299883,0.0,0.0,1.0,0.0,0.0
sub3907554,0.0,1.0,0.0,0.0,0.0
sub1944635,1.0,0.0,0.0,0.0,0.0
sub2949513,0.0,0.0,0.0,0.0,1.0
sub5190340,1.0,0.0,0.0,0.0,0.0
sub2837969,0.0,0.0,0.0,0.0,1.0
sub3959932,0.0,0.0,0.0,0.0,1.0
sub2752530,1.0,0.0,0.0,0.0,0.0
sub3042299,0.0,0.0,1.0,0.0,0.0
sub3939364,0.0,0.0,0.0,0.0,1.0
sub1997421,0.0,0.0,0.0,0.0,1.0
sub4863468,0.0,0.0,0.0,0.0,1.0
sub1855456,0.0,0.0,0.0,1.0,0.0
sub1082737,0.0,0.0,0.0,1.0,0.0
sub4727735,0.0,0.0,0.0,1.0,0.0
