,fold_0,fold_1,fold_2,fold_3,fold_4
sub5948436,0.0,1.0,0.0,0.0,0.0
sub4996631,1.0,0.0,0.0,0.0,0.0
sub2894349,1.0,0.0,0.0,0.0,0.0
sub3383987,0.0,1.0,0.0,0.0,0.0
sub5887056,0.0,0.0,0.0,0.0,1.0
sub3307116,0.0,0.0,0.0,0.0,1.0
sub2528636,0.0,1.0,0.0,0.0,0.0
sub3738223,1.0,0.0,0.0,0.0,0.0
sub1197892,0.0,1.0,0.0,0.0,0.0
sub2418473,0.0,0.0,0.0,1.0,0.0
sub4006069,1.0,0.0,0.0,0.0,0.0
sub2606315,0.0,0.0,1.0,0.0,0.0
sub3125010,0.0,0.0,1.0,0.0,0.0
sub3071061,1.0,0.0,0.0,0.0,0.0
sub5632131,0.0,0.0,0.0,1.0,0.0
sub3722665,1.0,0.0,0.0,0.0,0.0
sub2314786,0.0,0.0,0.0,0.0,1.0
sub2084798,0.0,0.0,1.0,0.0,0.0
sub3632411,0.0,0.0,0.0,0.0,1.0
sub2575306,0.0,0.0,0.0,0.0,1.0
sub1881779,0.0,0.0,0.0,1.0,0.0
sub5798573,0.0,1.0,0.0,0.0,0.0
sub2894318,0.0,0.0,1.0,0.0,0.0
sub3498322,1.0,0.0,0.0,0.0,0.0
sub4410043,0.0,0.0,0.0,1.0,0.0
sub4843667,0.0,1.0,0.0,0.0,0.0
sub3639781,0.0,0.0,0.0,1.0,0.0
sub1682146,0.0,0.0,0.0,1.0,0.0
sub3009614,0.0,0.0,1.0,0.0,0.0
sub1560825,0.0,1.0,0.0,0.0,0.0
sub4980648,0.0,1.0,0.0,0.0,0.0
sub2403344,1.0,0.0,0.0,0.0,0.0
sub1128441,1.0,0.0,0.0,0.0,0.0
sub3499423,0.0,1.0,0.0,0.0,0.0
sub1022039,0.0,0.0,1.0,0.0,0.0
sub3538797,0.0,0.0,0.0,0.0,1.0
sub4128807,0.0,0.0,0.0,0.0,1.0
sub3365831,0.0,0.0,0.0,0.0,1.0
sub1854004,0.0,1.0,0.0,0.0,0.0
sub5115756,0.0,0.0,0.0,1.0,0.0
sub3146620,0.0,0.0,0.0,0.0,1.0
sub1361632,0.0,1.0,0.0,0.0,0.0
sub3122701,1.0,0.0,0.0,0.0,0.0
sub3269564,1.0,0.0,0.0,0.0,0.0
sub2094563,0.0,0.0,0.0,1.0,0.0
sub1614906,0.0,0.0,1.0,0.0,0.0
sub3530621,1.0,0.0,0.0,0.0,0.0
sub1117566,0.0,0.0,1.0,0.0,0.0
sub1503736,0.0,0.0,1.0,0.0,0.0
sub3281240,0.0,0.0,0.0,0.0,1.0
sub4096002,0.0,0.0,1.0,0.0,0.0
sub3675270,0.0,0.0,1.0,0.0,0.0
sub3720256,0.0,0.0,0.0,1.0,0.0
sub2767526,0.0,0.0,0.0,0.0,1.0
sub2161648,0.0,0.0,0.0,1.0,0.0
sub3084664,0.0,1.0,0.0,0.0,0.0
sub1732522,1.0,0.0,0.0,0.0,0.0
sub2321499,0.0,0.0,0.0,0.0,1.0
sub5231619,0.0,0.0,1.0,0.0,0.0
sub3856183,1.0,0.0,0.0,0.0,0.0
sub3333618,0.0,0.0,0.0,0.0,1.0
sub4621308,0.0,0.0,0.0,1.0,0.0
sub4252158,0.0,0.0,0.0,1.0,0.0
sub2456601,0.0,0.0,0.0,0.0,1.0
sub1125159,0.0,0.0,1.0,0.0,0.0
sub4248221,0.0,0.0,1.0,0.0,0.0
sub3434040,0.0,0.0,0.0,0.0,1.0
sub4459012,1.0,0.0,0.0,0.0,0.0
sub4239354,0.0,1.0,0.0,0.0,0.0
sub1675169,0.0,1.0,0.0,0.0,0.0
sub5953196,0.0,1.0,0.0,0.0,0.0
sub2744506,0.0,0.0,0.0,0.0,1.0
sub2440180,1.0,0.0,0.0,0.0,0.0
sub1834834,0.0,1.0,0.0,0.0,0.0
sub3616724,0.0,0.0,1.0,0.0,0.0
sub4369746,0.0,0.0,1.0,0.0,0.0
sub5471241,0.0,0.0,0.0,1.0,0.0
sub5162278,0.0,0.0,0.0,0.0,1.0
sub4977527,1.0,0.0,0.0,0.0,0.0
sub3906845,0.0,0.0,1.0,0.0,0.0
sub4371375,1.0,0.0,0.0,0.0,0.0
sub5686255,0.0,0.0,0.0,0.0,1.0
sub1409731,0.0,0.0,0.0,1.0,0.0
sub3485555,0.0,0.0,0.0,0.0,1.0
sub1711300,0.0,1.0,0.0,0.0,0.0
sub3988975,1.0,0.0,0.0,0.0,0.0
sub1374256,0.0,0.0,0.0,1.0,0.0
sub1539572,0.0,1.0,0.0,0.0,0.0
sub2666941,0.0,0.0,1.0,0.0,0.0
sub4455203,0.0,0.0,0.0,1.0,0.0
sub2519600,0.0,0.0,0.0,1.0,0.0
sub1514671,0.0,0.0,0.0,1.0,0.0
sub1706592,0.0,1.0,0.0,0.0,0.0
sub1783984,1.0,0.0,0.0,0.0,0.0
sub3330460,1.0,0.0,0.0,0.0,0.0
sub1595304,0.0,0.0,0.0,0.0,1.0
sub1735109,0.0,0.0,0.0,1.0,0.0
sub3154785,1.0,0.0,0.0,0.0,0.0
sub2148383,0.0,0.0,1.0,0.0,0.0
sub3114806,1.0,0.0,0.0,0.0,0.0
sub3033281,0.0,0.0,0.0,1.0,0.0
sub4384437,1.0,0.0,0.0,0.0,0.0
sub3526001,0.0,0.0,1.0,0.0,0.0
sub4064797,0.0,0.0,0.0,1.0,0.0
sub4994375,0.0,0.0,0.0,0.0,1.0
sub4430433,1.0,0.0,0.0,0.0,0.0
sub4178752,0.0,0.0,0.0,0.0,1.0
sub5996168,1.0,0.0,0.0,0.0,0.0
sub5307528,0.0,1.0,0.0,0.0,0.0
sub2619043,0.0,1.0,0.0,0.0,0.0
sub3272986,0.0,0.0,0.0,0.0,1.0
sub5351030,0.0,0.0,0.0,1.0,0.0
sub5957123,0.0,1.0,0.0,0.0,0.0
sub2621929,0.0,0.0,1.0,0.0,0.0
sub3028715,1.0,0.0,0.0,0.0,0.0
sub4067750,1.0,0.0,0.0,0.0,0.0
sub4423725,0.0,0.0,0.0,1.0,0.0
sub1757812,0.0,0.0,0.0,0.0,1.0
sub3230455,1.0,0.0,0.0,0.0,0.0
