,fold_0,fold_1,fold_2,fold_3,fold_4
sub2621652,0.0,0.0,0.0,0.0,1.0
sub2088434,0.0,1.0,0.0,0.0,0.0
sub4717587,0.0,1.0,0.0,0.0,0.0
sub1264103,0.0,0.0,1.0,0.0,0.0
sub3371712,0.0,0.0,1.0,0.0,0.0
sub4104727,0.0,0.0,0.0,0.0,1.0
sub2777131,0.0,1.0,0.0,0.0,0.0
sub4596810,1.0,0.0,0.0,0.0,0.0
sub3870542,0.0,1.0,0.0,0.0,0.0
sub3140248,0.0,0.0,1.0,0.0,0.0
sub3894067,0.0,1.0,0.0,0.0,0.0
sub2545576,0.0,0.0,0.0,0.0,1.0
sub3337685,1.0,0.0,0.0,0.0,0.0
sub2725458,0.0,1.0,0.0,0.0,0.0
sub3901136,0.0,0.0,0.0,0.0,1.0
sub3390768,0.0,1.0,0.0,0.0,0.0
sub4733691,1.0,0.0,0.0,0.0,0.0
sub4814403,0.0,0.0,0.0,1.0,0.0
sub3381830,0.0,1.0,0.0,0.0,0.0
sub4843551,1.0,0.0,0.0,0.0,0.0
sub2042010,0.0,0.0,0.0,0.0,1.0
sub4116023,0.0,0.0,0.0,1.0,0.0
sub5246466,0.0,0.0,0.0,1.0,0.0
sub2915559,1.0,0.0,0.0,0.0,0.0
sub3423775,0.0,1.0,0.0,0.0,0.0
sub4083875,1.0,0.0,0.0,0.0,0.0
sub2834609,0.0,0.0,0.0,1.0,0.0
sub1318016,0.0,0.0,1.0,0.0,0.0
sub2341090,0.0,0.0,0.0,1.0,0.0
sub3877773,1.0,0.0,0.0,0.0,0.0
sub1291361,0.0,0.0,0.0,0.0,1.0
sub3350213,0.0,0.0,0.0,0.0,1.0
sub2892707,0.0,0.0,0.0,0.0,1.0
sub4278032,0.0,0.0,0.0,1.0,0.0
sub3740991,0.0,0.0,0.0,0.0,1.0
sub4346161,0.0,0.0,0.0,0.0,1.0
sub4498015,0.0,0.0,1.0,0.0,0.0
sub1020824,0.0,0.0,1.0,0.0,0.0
sub3184772,0.0,1.0,0.0,0.0,0.0
